0,000 518,0
0,033 507,0
0,067 494,0
0,100 482,5
0,133 473,0
0,167 466,0
0,200 462,0
0,233 462,5
0,267 467,0
0,300 475,5
0,333 486,0
0,367 499,0
0,400 510,5
0,433 519,5
0,467 526,0
0,500 528,5
0,533 528,5
0,567 526,0
0,600 518,5
0,633 509,0
0,667 498,5
0,700 488,0
0,733 478,0
0,767 469,5
0,800 464,5
0,833 461,0
0,867 461,5
0,900 465,5
0,933 472,5
0,967 483,0
1,000 494,0
1,033 505,0
1,066 514,5
1,100 523,0
1,133 527,5
1,166 528,5
1,200 528,0
1,233 523,5
1,266 516,5
1,300 507,5
1,333 498,5
1,366 488,0
1,400 478,5
1,433 470,5
1,466 464,0
1,500 461,5
1,533 463,0
1,566 466,0
1,600 473,0
1,633 481,0
1,666 491,0
1,700 501,5
1,733 512,0
1,766 519,5
1,800 525,5
1,833 529,0
1,866 529,5
1,900 528,0
1,933 523,0
1,966 515,5
2,000 507,5
2,033 498,0
2,066 488,5
2,100 479,5
2,133 471,5
2,166 466,0
2,200 463,0
2,233 463,0
2,266 465,0
2,300 469,0
2,333 476,5
2,366 485,5
2,400 496,0
2,433 505,0
2,466 513,0
2,500 520,5
2,533 526,0
2,566 528,0
2,600 528,0
2,633 526,5
2,666 522,0
2,700 516,0
2,733 507,5
2,766 498,5
2,800 489,5
2,833 481,0
2,866 472,8
2,900 466,5
2,933 463,0
2,966 461,8
3,000 461,8
3,033 464,5
3,066 469,0
3,100 475,0
3,133 482,5
3,166 491,5
3,199 500,0
3,233 508,8
3,266 515,0
3,299 521,0
3,333 524,3
3,366 527,0
3,399 527,0
3,433 526,0
3,466 522,3
3,499 516,8
3,533 510,8
3,566 503,0
3,599 495,3
3,633 486,5
3,666 479,0
3,699 472,0
3,733 467,0
3,766 462,5
3,799 461,0
3,833 461,0
3,866 463,5
3,899 466,3
3,933 471,8
3,966 477,3
3,999 485,8
4,033 492,5
4,066 500,0
4,099 507,8
4,133 513,5
4,166 519,3
4,199 523,5
4,233 525,8
4,266 526,3
4,299 526,0
4,333 524,0
4,366 520,0
4,399 515,5
4,433 509,8
4,466 503,0
4,499 496,3
4,533 488,8
4,566 481,5
4,599 474,8
4,633 468,8
4,666 464,5
4,699 463,0
4,733 462,0
4,766 463,0
4,799 464,3
4,833 467,8
4,866 472,5
4,899 478,0
4,933 484,3
4,966 491,0
4,999 498,3
5,033 504,8
5,066 511,3
5,099 517,0
5,133 521,8
5,166 525,0
5,199 528,3
5,232 529,5
5,266 529,5
5,299 528,3
5,332 525,8
5,366 521,5
5,399 516,8
5,432 511,3
5,466 504,3
5,499 497,3
5,532 490,3
5,566 483,0
5,599 477,0
5,632 472,8
5,666 468,3
5,699 465,0
5,732 464,0
5,766 464,0
5,799 464,8
5,832 466,8
5,866 469,8
5,899 473,8
5,932 479,0
5,966 485,0
5,999 490,8
6,032 496,8
6,066 503,3
6,099 509,0
6,132 514,8
6,166 518,8
6,199 523,5
6,232 526,3
6,266 528,5
6,299 529,5
6,332 529,0
6,366 528,8
6,399 526,8
6,432 523,5
6,466 520,5
6,499 516,3
6,532 511,5
6,566 506,0
6,599 501,0
6,632 493,8
6,666 488,3
6,699 483,0
6,732 477,8
6,766 473,5
6,799 469,8
6,832 466,3
6,866 464,3
6,899 463,8
6,932 462,8
6,966 463,3
6,999 464,5
7,032 466,0
7,066 469,8
7,099 472,5
7,132 476,5
7,166 481,0
7,199 485,0
7,232 490,3
7,266 494,8
7,299 500,3
7,332 504,8
7,365 509,3
7,399 513,5
7,432 516,8
7,465 520,3
7,499 523,0
7,532 525,0
7,565 525,5
7,599 527,0
7,632 527,8
7,665 527,0
7,699 526,8
7,732 525,8
7,765 523,5
7,799 522,0
7,832 518,8
7,865 515,0
7,899 511,8
7,932 507,5
7,965 503,0
7,999 498,8
8,032 494,3
8,065 490,8
8,099 486,0
