potencia_a_entregar
107.01
106.35
105.94
105.3
104.7
104.07
103.44
103.06
102.44
101.83
101.23
100.67
100.08
99.49
98.91
98.34
97.77
97.21
96.68
96.13
95.58
95.04
94.5
93.97
93.44
92.73
92.21
91.7
91.19
90.69
89.96
89.47
89.02
88.53
87.83
87.36
86.89
86.21
85.75
85.32
84.65
84.21
83.77
83.11
82.68
82.03
81.64
81.0
80.59
79.96
79.56
78.94
78.54
77.93
77.57
76.98
76.59
76.0
75.42
75.05
74.47
74.11
73.57
73.01
72.66
72.11
71.56
71.22
70.67
70.14
69.6
69.31
68.78
68.26
67.74
67.43
66.92
66.42
65.91
65.64
65.15
64.66
64.17
63.69
63.21
62.93
62.46
61.99
61.55
61.09
60.64
60.18
59.73
59.29
59.03
58.59
58.16
57.73
57.32
56.89
56.47
56.05
55.63
55.22
54.81
54.4
54.0
53.6
53.2
52.83
52.44
52.05
51.66
51.28
50.9
50.52
50.15
49.77
49.4
49.04
48.67
48.33
47.98
47.62
47.27
46.92
46.57
46.22
45.88
45.54
45.2
44.86
44.53
44.2
43.73
43.4
43.08
42.75
42.43
42.12
41.8
41.49
41.18
40.87
40.56
40.26
39.95
39.65
39.35
39.06
38.78
38.49
38.2
37.76
37.47
37.19
36.9
36.62
36.34
36.06
35.79
35.51
35.24
34.97
34.7
34.43
34.16
33.9
33.64
33.38
33.12
32.86
32.6
32.34
32.11
31.86
31.6
31.36
31.11
30.86
30.75
30.51
30.26
30.02
29.78
29.54
29.3
29.07
28.83
28.6
28.36
28.26
28.03
27.8
27.58
27.35
27.12
27.03
26.8
26.58
26.36
26.14
26.05
25.83
25.61
25.39
25.18
25.09
24.88
24.66
24.58
24.37
24.15
23.95
23.86
23.66
23.58
23.37
23.16
23.09
22.88
22.68
22.6
22.4
22.33
22.13
22.05
21.84
21.77
21.57
21.5
21.31
21.24
21.04
20.98
20.79
20.72
20.66
20.47
20.41
20.22
20.16
