potencia_a_entregar
169.06
167.28
165.52
163.74
162.01
160.29
158.21
156.49
154.82
153.17
151.15
149.5
147.89
146.3
144.73
142.77
141.22
139.7
137.82
136.29
134.81
132.99
131.53
130.06
128.29
126.88
125.45
123.74
122.37
120.69
119.32
117.99
116.36
115.03
113.43
112.16
110.59
109.32
107.79
106.57
105.04
103.85
102.38
101.19
99.75
98.61
97.2
96.07
94.69
93.32
92.22
90.89
89.84
88.51
87.22
86.18
84.91
83.67
82.66
81.44
80.24
79.27
78.09
76.93
75.99
74.85
73.7
72.59
71.72
70.61
69.54
68.48
67.63
66.59
65.54
64.53
63.54
62.53
61.76
60.77
59.82
58.85
57.92
57.01
56.08
55.37
54.46
53.59
52.7
51.84
50.98
50.14
49.3
48.48
47.68
46.86
46.08
45.28
44.52
43.74
42.99
42.23
41.5
40.75
40.04
39.31
38.61
37.9
37.2
36.52
35.84
35.17
34.37
33.73
33.07
32.44
31.79
31.15
30.54
29.91
29.2
28.59
28.0
27.4
26.8
26.23
25.54
24.96
24.4
23.83
23.19
22.62
22.07
21.53
20.9
20.35
19.83
19.29
18.68
18.16
17.63
17.03
16.53
16.01
15.42
14.93
14.41
13.84
13.33
12.84
12.28
11.77
11.26
10.73
10.22
9.68
9.17
8.68
8.14
7.64
7.1
6.61
6.08
5.57
5.06
4.52
4.01
3.5
