potencia_a_entregar
70.97
70.59
70.22
69.89
69.53
69.19
68.85
68.52
68.2
67.88
67.44
67.14
66.85
66.56
66.28
65.85
65.59
65.36
64.95
64.7
64.3
64.08
63.69
63.47
63.13
62.93
62.56
62.37
62.02
61.68
61.51
61.18
60.88
60.72
60.41
60.1
59.96
59.66
59.36
59.07
58.79
58.54
58.42
58.15
57.89
57.63
57.37
57.11
56.86
56.62
56.4
56.17
55.93
55.7
55.47
55.25
55.03
54.81
54.59
54.22
54.01
53.83
53.62
53.42
53.22
53.02
52.83
52.48
52.29
52.1
51.91
51.72
51.38
51.2
51.04
50.86
50.68
50.35
50.17
49.99
49.82
49.49
49.32
49.14
48.97
48.64
48.47
48.3
48.13
47.8
47.63
47.46
47.28
46.96
46.79
46.62
46.44
46.27
45.94
45.77
45.59
45.41
45.23
44.91
44.72
44.54
44.36
44.17
43.84
43.65
43.46
43.27
43.08
42.88
42.69
42.49
42.15
41.94
41.74
41.53
41.32
41.11
40.9
40.68
40.46
40.24
40.02
39.79
39.56
39.33
39.1
38.99
38.75
38.51
38.26
37.99
37.74
37.61
37.35
37.09
36.82
36.68
36.41
36.13
35.98
35.69
35.4
35.22
34.92
34.75
34.44
34.26
33.94
33.75
33.42
33.2
33.0
32.65
32.44
32.22
31.86
31.62
31.38
31.12
30.74
30.48
30.21
29.94
29.66
29.36
29.07
28.77
28.46
28.15
27.83
27.61
27.27
26.92
26.56
26.32
25.93
25.55
25.28
24.87
