tiempo,posicion_x_px,posicion_y_px,posicion_x,posicion_y,velocidad_x,velocidad_y,aceleracion_x,aceleracion_y,velocidad_angular,aceleracion_angular
0.0,275.5,518.0,2.47228689380786,4.6484377894463575,2.31,-2.99,29.12,-12.94,4.6076489422660405,-0.6294748740295601
0.033,284.0,507.0,2.5485643478817868,4.54972579005657,3.3,-3.43,36.06,9.09,4.5866710621383655,-0.6253128068840457
0.067,296.5,494.0,2.6607370744610908,4.433066154414094,4.49,-3.13,32.73,16.67,4.5658315714709765,-0.6211754623466834
0.1,313.0,482.5,2.808805073545772,4.329867245961134,5.57,-2.58,26.47,21.47,4.545129655312099,-0.6170628379411673
0.133,333.5,473.0,2.992768345135831,4.244615973760864,6.47,-1.85,1.82,23.03,4.524564498709955,-0.6129749311911914
0.167,358.0,466.0,3.2126268892312666,4.181799246876453,6.53,-1.09,28.79,37.27,4.504135286712768,-0.6089117396204493
0.2,382.0,462.0,3.4279985242635305,4.145903974371076,7.48,0.14,-22.06,30.88,4.483841204368761,-0.604873260752635
0.233,409.5,462.5,3.674778522737999,4.150390883434248,6.73,1.19,-10.3,33.94,4.463681436726159,-0.6008594921114425
0.267,435.0,467.0,3.9036108849597793,4.190773065002798,6.39,2.31,-33.03,16.67,4.443655168833184,-0.5968704312205657
0.3,458.5,475.5,4.114495610928871,4.267050519076724,5.3,2.86,-39.41,16.76,4.423761585738059,-0.5929060756036983
0.333,478.0,486.0,4.289485064392585,4.361275609403339,3.96,3.43,-29.39,-9.09,4.403999872489008,-0.5889664227845345
0.367,493.0,499.0,4.42409233628775,4.477935245045816,2.99,3.13,-41.21,-20.61,4.384369214134255,-0.585051470286768
0.4,504.0,510.5,4.522804335677537,4.581134153498775,1.63,2.45,-16.76,-21.47,4.364868795722021,-0.5811612156340926
0.433,510.0,519.5,4.576647244435604,4.661898516635874,1.06,1.72,-19.7,-31.52,4.345497802300533,-0.5772956563502025
0.467,514.0,526.0,4.61254251694098,4.720228334457112,0.41,0.68,-4.24,-20.61,4.326255418918011,-0.5734547899587914
0.5,515.5,528.5,4.626003244130497,4.742662879772973,0.27,0.0,7.65,-19.41,4.30714083062268,-0.5696386139835533
0.533,516.5,528.5,4.634977062256842,4.742662879772973,0.53,-0.66,8.79,-41.82,4.288153222462763,-0.565847125948182
