tiempo,posicion_x_px,posicion_y_px,posicion_x,posicion_y,velocidad_x,velocidad_y,aceleracion_x,aceleracion_y,velocidad_angular,aceleracion_angular
1.6,1036.0,548.5,8.402181345095471,4.4484521889815305,1.47,-2.09,37.27,-14.85,3.5293666265578834,-0.29069244939047034
1.633,1042.0,540.0,8.450842627016872,4.37951537292621,2.7,-2.58,11.76,5.59,3.519670997323907,-0.2846807640336573
1.666,1053.0,529.5,8.54005497720611,4.294358129563756,3.1,-2.39,10.3,5.45,3.510175832070245,-0.2788413504426833
1.7,1066.0,519.5,8.645487754702481,4.213255993028086,3.44,-2.21,44.85,-3.64,3.500875403338995,-0.27317419634547446
1.733,1080.0,510.5,8.75903074585242,4.140264070145983,4.92,-2.33,2.65,33.53,3.4917639836722527,-0.2676792894699572
1.766,1100.0,501.0,8.921235018923761,4.063217040437095,5.01,-1.19,4.55,17.58,3.482835845612116,-0.2623566175440575
1.8,1121.0,496.0,9.09154950564867,4.02266597216926,5.16,-0.61,7.58,26.06,3.4740852617006817,-0.2572061682957014
1.833,1142.0,493.5,9.26186399237358,4.002390438035342,5.41,0.25,-4.71,6.76,3.4655065044800466,-0.25222792945281547
1.866,1164.0,494.5,9.440288692752054,4.0105006516889095,5.25,0.48,-10.0,45.15,3.4570938464923078,-0.2474218887433255
1.9,1186.0,496.5,9.618713393130529,4.026721078996044,4.92,1.97,-15.15,7.27,3.4488415602795626,-0.2427880338951578
1.933,1206.0,504.5,9.78091766620187,4.09160278822458,4.42,2.21,-31.76,8.53,3.4407439183839075,-0.23832635263623858
1.966,1224.0,513.5,9.926901511966078,4.164594711106683,3.34,2.5,-26.67,10.0,3.4327951933474394,-0.23403683269449393
2.0,1238.0,524.0,10.040444503116015,4.249751954469137,2.46,2.83,-7.58,-15.15,3.4249896577122554,-0.22991946179785006
2.033,1248.0,535.5,10.121546639651688,4.343019411485159,2.21,2.33,-22.94,-8.82,3.4173215840204527,-0.22597422767423303
2.066,1257.0,545.0,10.19453856253379,4.420066441194046,1.43,2.03,-20.91,-20.61,3.409785244814128,-0.22220111805156917
2.1,1263.0,553.5,10.243199844455193,4.489003257249365,0.74,1.35,-14.85,-7.27,3.402374912635378,-0.21860012065778467
2.133,1266.0,559.0,10.267530485415891,4.533609432343985,0.25,1.11,-0.29,-32.65,3.3950848600263006,-0.2151712232208055
2.166,1267.0,563.5,10.27564069906946,4.570105393785036,0.24,0.0,-7.27,-14.85,3.3879093595289915,-0.211914413468558
2.2,1268.0,563.5,10.283750912723027,4.570105393785036,0.0,-0.49,29.7,-22.42,3.3808426836855485,-0.2088296791289681
2.233,1268.0,561.5,10.283750912723027,4.553884966477902,0.98,-1.23,-0.88,-12.94,3.3738791050380685,-0.20591700792996226
2.266,1272.0,556.5,10.316191767337296,4.513333898210067,0.95,-1.67,15.76,-12.73,3.367012896128648,-0.20317638759946643
2.3,1276.0,549.5,10.348632621951564,4.456562402635098,1.47,-2.09,15.15,-11.21,3.3602383294993845,-0.20060780586540716
2.333,1282.0,541.0,10.397293903872963,4.3876255865797775,1.97,-2.46,26.18,2.06,3.3535496776923748,-0.19821125045570998
2.366,1290.0,531.0,10.462175613101502,4.306523450044107,2.86,-2.39,32.42,5.45,3.346941213249716,-0.19598670909830163
2.4,1302.0,521.0,10.559498176944308,4.225421313508436,3.93,-2.21,0.0,14.85,3.340407208713504,-0.19393416952110787
2.433,1318.0,512.0,10.68926159540138,4.152429390626333,3.93,-1.72,10.59,1.47,3.3339419366258376,-0.19205361945205512
2.466,1334.0,505.0,10.819025013858452,4.095657895051364,4.29,-1.67,3.94,28.18,3.327539669528812,-0.19034504661906937
2.5,1352.0,498.0,10.96500885962266,4.038886399476394,4.42,-0.74,37.27,14.85,3.3211946799645258,-0.18880843875007713
2.533,1370.0,495.0,11.110992705386868,4.014555758515693,5.65,-0.25,-32.94,25.0,3.3149012404750744,-0.18744378357300417
2.566,1393.0,494.0,11.29752761941891,4.0064455448621255,4.53,0.6,26.67,15.45,3.308653623602556,-0.1862510688157768
2.6,1412.0,496.5,11.451621678836684,4.026721078996044,5.41,1.11,-37.27,22.12,3.3024461018890663,-0.18523028220632132
2.633,1434.0,501.0,11.63004637921516,4.063217040437095,4.18,1.84,-17.65,9.12,3.2962729478767034,-0.1843814114725637
