tiempo,posicion_x_px,posicion_y_px,posicion_x,posicion_y,velocidad_x,velocidad_y,aceleracion_x,aceleracion_y,velocidad_angular,aceleracion_angular
0.0,358.0,487.5,3.02341302851862,4.1170777972146,6.65,0.64,-5.59,35.88,4.404377914480174,-0.7590810095237325
0.033,384.0,490.0,3.2429905110367314,4.138191016687496,6.46,1.86,-17.27,17.27,4.379111816765694,-0.7508680566531583
0.067,410.0,497.5,3.4625679935548432,4.201530675106182,5.89,2.43,-38.79,23.33,4.354118553615482,-0.742727828364198
0.1,433.0,507.0,3.656809612705481,4.281760909103184,4.61,3.2,-33.24,-6.47,4.329395717478835,-0.7346603200852738
0.133,451.0,519.5,3.808824792910328,4.387327006467661,3.48,2.98,-43.33,-4.85,4.304940900805051,-0.7266655272448077
0.167,465.0,531.5,3.927058821958542,4.488670459937559,2.05,2.82,-31.21,-15.76,4.280751696043428,-0.7187434452712214
0.2,473.0,542.5,3.994621124271807,4.581568625618299,1.02,2.3,-11.76,-34.71,4.256825695643264,-0.7108940695929369
0.233,477.0,551.5,4.02840227542844,4.657576215720722,0.62,1.12,-14.85,-26.06,4.233160492053856,-0.7031173956383762
0.267,479.5,556.0,4.049515494901335,4.695580010771934,0.13,0.26,11.52,-35.15,4.209753677724502,-0.6954134188359613
0.3,480.0,557.0,4.053738138795914,4.704025298561092,0.51,-0.9,3.24,-2.65,4.186602845104501,-0.687782134614114
0.333,482.0,553.5,4.070628714374231,4.674466791299039,0.62,-0.99,27.88,-28.18,4.163705586643149,-0.6802235384012564
0.367,484.5,549.5,4.091741933847126,4.640685640142406,1.54,-1.92,11.52,-27.27,4.141059494789745,-0.6727376256258104
0.4,490.5,542.0,4.142413660582075,4.577345981723719,1.92,-2.82,38.53,-1.18,4.118662161993587,-0.6653243917161978
0.433,498.0,531.0,4.205753319000761,4.48444781604298,3.23,-2.86,22.42,13.03,4.096511180703972,-0.6579838321008408
0.467,511.0,519.5,4.315542060259817,4.387327006467661,3.97,-2.43,23.03,3.94,4.074604143370198,-0.6507159422081612
0.5,526.5,510.0,4.446444020991769,4.307096772470659,4.73,-2.3,32.65,23.82,4.052938642441563,-0.6435207174665809
0.533,545.0,501.0,4.602681845091194,4.231089182368236,5.84,-1.49,5.15,25.76,4.031512270367365,-0.636398153304522
0.567,568.5,495.0,4.801146108136411,4.180417455633287,6.01,-0.64,7.88,19.39,4.010322619596901,-0.6293482451504062
0.6,592.0,492.5,4.999610371181627,4.159304236160391,6.27,0.0,-5.29,29.12,3.98936728257947,-0.6223709884326557
0.633,616.5,492.5,5.206519922016002,4.159304236160391,6.09,0.99,-13.94,24.24,3.968643851764369,-0.6154663785796923
0.667,641.0,496.5,5.413429472850377,4.193085387317024,5.63,1.79,-19.39,31.21,3.948149919600896,-0.608634411019938
0.7,663.0,503.5,5.599225804211857,4.252202401841131,4.99,2.82,-40.88,1.18,3.9278830785383483,-0.6018750811818148
0.733,682.5,514.5,5.763908916100441,4.345100567521871,3.6,2.86,-23.64,2.42,3.9078409210260245,-0.5951883844937444
0.767,697.0,526.0,5.886365589043234,4.442221377097189,2.82,2.94,-35.15,-19.39,3.888021039513222,-0.588574316384149
0.8,708.0,537.5,5.9792637547239735,4.539342186672508,1.66,2.3,-15.88,-5.59,3.868421026449239,-0.5820328722814505
0.833,714.5,546.5,6.0341581253535015,4.615349776774932,1.12,2.11,-10.61,-29.09,3.849038474283373,-0.5755640476140709
0.867,719.0,555.0,6.072161920404713,4.687134722982776,0.77,1.15,-19.39,-30.91,3.829870975464922,-0.5691678378104319
0.9,722.0,559.5,6.097497783772187,4.725138518033988,0.13,0.13,-3.82,-18.53,3.8109161224431833,-0.5628442382989557
0.933,722.5,560.0,6.101720427666767,4.729361161928567,0.0,-0.5,23.33,-12.12,3.7921715076674554,-0.5565932445080641
0.967,722.5,558.0,6.101720427666767,4.712470586350251,0.77,-0.9,19.39,-34.85,3.773634723587035,-0.5504148518661791
1.0,725.5,554.5,6.127056291034242,4.682912079088196,1.41,-2.05,15.45,-7.58,3.7553033626512216,-0.5443090558017227
1.033,731.0,546.5,6.173505373874611,4.615349776774932,1.92,-2.3,20.29,-1.76,3.7371750173093115,-0.5382758517431168
1.066,738.5,537.5,6.236845032293298,4.539342186672508,2.61,-2.36,25.45,-10.0,3.7192472800106033,-0.5323152351187832
1.1,749.0,528.0,6.325520554079458,4.459111952675506,3.45,-2.69,23.33,15.45,3.7015177432043944,-0.526427201357144
1.133,762.5,517.5,6.439531939233093,4.370436430889345,4.22,-2.18,14.71,5.59,3.6839839993399828,-0.5206117458866213
1.166,779.0,509.0,6.578879187754202,4.298651484681501,4.72,-1.99,31.52,29.39,3.666643640866667,-0.5148688641356367
1.2,798.0,501.0,6.739339655748207,4.231089182368236,5.76,-1.02,-11.82,26.97,3.6494942602337432,-0.5091985515326124
1.233,820.5,497.0,6.929358631004266,4.197308031211603,5.37,-0.13,6.47,14.71,3.6325334498905106,-0.5036008035059703
1.266,841.5,496.5,7.106709674576587,4.193085387317024,5.59,0.37,-18.18,35.45,3.6157588022862663,-0.49807561548413215
1.3,864.0,498.0,7.296728649832645,4.205753319000761,4.99,1.54,0.0,15.45,3.5991679098703084,-0.49262298289552015
1.333,883.5,504.0,7.46141176172123,4.25642504573571,4.99,2.05,-37.06,20.0,3.582758365091935,-0.4872429011685561
1.366,903.0,512.0,7.626094873609814,4.323987348048975,3.73,2.73,-16.06,-1.21,3.5665277604004433,-0.481935365731662
1.4,918.0,523.0,7.752774190447186,4.4168855137297145,3.2,2.69,-27.27,-7.88,3.5504736882451313,-0.4767003720132599
1.433,930.5,533.5,7.858340287811663,4.505561035515876,2.3,2.43,-27.35,5.29,3.5345937410752972,-0.47153791544177154
1.466,939.5,543.0,7.934347877914086,4.585791269512878,1.37,2.61,-14.24,-44.24,3.518885511340238,-0.46644799144561894
1.5,945.0,553.5,7.980796960754456,4.674466791299039,0.9,1.15,-19.39,3.94,3.5033465914892523,-0.46143059545322407
1.533,948.5,558.0,8.01035546801651,4.712470586350251,0.26,1.28,-4.12,-22.94,3.4879745739716377,-0.4564857228930089
1.566,949.5,563.0,8.018800755805668,4.754697025296041,0.12,0.5,7.88,-23.03,3.472767051236692,-0.45161336919339534
1.6,950.0,565.0,8.023023399700246,4.771587600874358,0.38,-0.26,3.94,-26.97,3.4577216157337127,-0.4468135297828053
1.633,951.5,564.0,8.035691331383985,4.763142313085199,0.51,-1.15,14.12,-17.35,3.4428358599119977,-0.4420862000896608
1.666,953.5,559.5,8.0525819069623,4.725138518033988,0.99,-1.74,20.3,-9.39,3.4281073762208454,-0.43743137554238376
1.7,957.5,552.5,8.086363058118932,4.666021503509881,1.66,-2.05,19.39,-11.52,3.4135337571095525,-0.4328490515693961
1.733,964.0,544.5,8.141257428748462,4.598459201196615,2.3,-2.43,16.47,-1.47,3.399112595027418,-0.4283392235991198
1.766,973.0,535.0,8.217265018850885,4.5182289671996125,2.86,-2.48,25.76,13.03,3.384841482423739,-0.4239018870599768
1.8,984.5,525.0,8.314385828426204,4.433776089308031,3.71,-2.05,19.39,0.0,3.3707180117478135,-0.419537037380389
1.833,999.0,517.0,8.436842501368996,4.366213786994766,4.35,-2.05,10.88,23.82,3.356739775448939,-0.4152446699887784
1.866,1016.0,509.0,8.580412393784686,4.298651484681501,4.72,-1.24,19.7,18.18,3.3429043659764144,-0.41102478031356693
1.9,1035.0,504.0,8.74087286177869,4.25642504573571,5.37,-0.64,-7.58,34.85,3.329209375779536,-0.40687736378317646
1.933,1056.0,501.5,8.918223905351011,4.235311826262815,5.12,0.51,-4.41,14.12,3.3156523973076024,-0.4028024158260291
1.966,1076.0,503.5,9.087129661134174,4.252202401841131,4.97,0.99,-10.91,12.73,3.3022310230099112,-0.3987999318705467
2.0,1096.0,507.5,9.256035416917335,4.285983552997764,4.61,1.41,-15.76,26.97,3.2889428453357605,-0.39486990734515115
2.033,1114.0,513.0,9.408050597122184,4.332432635838133,4.09,2.3,-32.65,1.76,3.2757854567344484,-0.39101233767826443
2.066,1130.0,522.0,9.543175201748715,4.408440225940557,2.98,2.36,-12.73,6.06,3.2627564496552717,-0.3872272182983086
2.1,1142.0,531.5,9.644518655218612,4.488670459937559,2.56,2.56,-23.33,-3.94,3.249853416547529,-0.3835145446337055
2.133,1152.0,541.5,9.728971533110194,4.5731233378291405,1.79,2.43,-16.18,-16.76,3.2370739498605174,-0.37987431211287703
2.166,1159.0,551.0,9.7880885476343,4.653353571826143,1.24,1.86,-22.12,-13.64,3.2244156420435357,-0.37630651616424526
2.2,1164.0,558.5,9.830314986580092,4.71669323024483,0.51,1.41,0.0,-11.82,3.2118760855458808,-0.372811152216232
2.233,1166.0,564.0,9.847205562158408,4.763142313085199,0.51,1.02,-15.0,-33.53,3.199452872816851,-0.36938821569725927
2.266,1168.0,568.0,9.864096137736723,4.796923464241832,0.0,-0.12,15.45,3.64,3.187143596305744,-0.36603770203574904
2.3,1168.0,567.5,9.864096137736723,4.792700820347253,0.51,0.0,-15.45,-38.79,3.1749458484618582,-0.36275960666012325
2.333,1170.0,567.5,9.88098671331504,4.792700820347253,0.0,-1.28,43.82,-6.18,3.16285722173449,-0.3595539249988038
2.366,1170.0,562.5,9.88098671331504,4.750474381401462,1.49,-1.49,-14.24,-1.52,3.1508753085729384,-0.3564206524802126
2.4,1176.0,556.5,9.93165844004999,4.699802654666513,1.02,-1.54,31.21,-30.91,3.1389977014265007,-0.3533597845327717
2.433,1180.0,550.5,9.965439591206623,4.649130927931564,2.05,-2.56,5.59,9.41,3.127221992744475,-0.3503713165849031
2.466,1188.0,540.5,10.033001893519888,4.564678050039983,2.24,-2.24,33.03,1.82,3.115545774976159,-0.3474552440650285
2.5,1197.0,531.5,10.10900948362231,4.488670459937559,3.33,-2.18,15.45,7.88,3.1039666405708504,-0.34461156240157004
2.533,1210.0,523.0,10.218798224881366,4.4168855137297145,3.84,-1.92,11.18,12.65,3.092482181977847,-0.3418402670229497
2.566,1225.0,515.5,10.34547754171874,4.353545855311029,4.22,-1.49,11.82,21.82,3.0810899916464467,-0.33914135335758916
2.6,1242.0,509.5,10.489047434134427,4.30287412857608,4.61,-0.77,0.0,27.27,3.069787662025947,-0.33651481683391066
2.633,1260.0,506.5,10.641062614339274,4.277538265208605,4.61,0.13,-4.12,7.06,3.0585727855656466,-0.3339606528803361
2.666,1278.0,507.0,10.79307779454412,4.281760909103184,4.47,0.37,4.24,12.12,3.0474429547148425,-0.3314788569252872
2.7,1296.0,508.5,10.945092974748968,4.294428840786922,4.61,0.77,-15.76,30.91,3.036395761922832,-0.3290694243971861
2.733,1314.0,511.5,11.097108154953816,4.319764704154396,4.09,1.79,-25.29,2.06,3.0254287996389144,-0.3267323507244548
2.766,1330.0,518.5,11.232232759580343,4.378881718678503,3.23,1.86,-4.85,5.76,3.014539660312387,-0.3244676313355151
2.8,1343.0,526.0,11.3420215008394,4.442221377097189,3.07,2.05,-30.91,15.45,3.003725936392547,-0.32227526165878906
2.833,1355.0,534.0,11.4433649543093,4.509783679410455,2.05,2.56,-9.12,-24.12,2.992985220328692,-0.32015523712269844
2.866,1363.0,544.0,11.510927256622566,4.594236557302036,1.74,1.74,-21.82,9.39,2.9823151045701204,-0.3181075531556654
2.9,1370.0,551.0,11.570044271146672,4.653353571826143,1.02,2.05,-7.58,-15.45,2.971713181566131,-0.31613220518611174
2.933,1374.0,559.0,11.603825422303304,4.720915874139409,0.77,1.54,-15.29,-19.71,2.9611770437660194,-0.3142291886424595
2.966,1377.0,565.0,11.62916128567078,4.771587600874358,0.25,0.87,7.88,-6.97,2.950704283619085,-0.3123984989531306
3.0,1378.0,568.5,11.637606573459935,4.801146108136411,0.51,0.64,-23.33,-27.27,2.940292493574626,-0.310640131546547
3.033,1380.0,571.0,11.654497149038251,4.822259327609307,-0.26,-0.26,22.35,-7.06,2.9299392660819388,-0.3089540818511305
3.066,1379.0,570.0,11.646051861249097,4.813814039820148,0.5,-0.5,0.3,-12.12,2.919642193590321,-0.3073403452953033
3.1,1381.0,568.0,11.66294243682741,4.796923464241832,0.51,-0.9,7.88,-19.39,2.909398868549072,-0.30579891730748715
