tiempo,posicion_x_px,posicion_y_px,posicion_x,posicion_y,velocidad_x,velocidad_y,aceleracion_x,aceleracion_y,velocidad_angular,aceleracion_angular
0.0,686.5,514.0,4.753315273377395,3.5589279687049977,5.46,1.99,-43.82,16.47,3.5835199937837974,-0.3523382526175495
0.033,712.5,523.5,4.933338867125118,3.6247058202666658,3.97,2.55,-18.48,-0.91,3.571793991029677,-0.3569393145577726
0.067,732.0,536.0,5.068356562435911,3.711255624953072,3.36,2.52,-28.79,6.36,3.5599135113095666,-0.361455693262345
0.1,748.0,548.0,5.179140312434511,3.794343437452021,2.41,2.73,-28.82,-17.35,3.5478814129028637,-0.36588737745656685
0.133,759.5,561.0,5.258766132746003,3.8843552343258825,1.43,2.14,-17.88,-7.58,3.535700554088965,-0.3702343558657385
0.167,766.5,571.5,5.30723402337039,3.9570570702624632,0.84,1.89,-16.06,-31.82,3.523373793147268,-0.37449661721516025
0.2,770.5,580.5,5.33492996087004,4.019372929636675,0.31,0.84,-3.24,-21.76,3.510903988357169,-0.37867415023013246
0.233,772.0,584.5,5.345315937432409,4.047068867136325,0.2,0.1,6.67,-18.79,3.498293997998065,-0.38276694363595537
0.267,773.0,585.0,5.352239921807321,4.050530859323781,0.42,-0.52,9.39,-28.79,3.4855466803493527,-0.3867749861579293
0.3,775.0,582.5,5.3660878905571465,4.0332208983865,0.73,-1.47,26.47,-13.53,3.472664893690429,-0.3906982665213546
0.333,778.5,575.5,5.39032183586934,3.984753007762113,1.63,-1.93,4.55,-11.52,3.4596514963006912,-0.39453677345153154
0.367,786.5,566.0,5.445713710868639,3.9189751562004447,1.78,-2.31,31.82,-6.36,3.4465093464595364,-0.3982904956737604
0.4,795.0,555.0,5.504567578055395,3.842811328076408,2.83,-2.52,15.59,5.29,3.4332413024463606,-0.40195942191334155
0.433,808.5,543.0,5.598041367116713,3.759723515577458,3.36,-2.34,28.48,13.64,3.419850222540562,-0.4055435408955753
0.467,825.0,531.5,5.7122871093027685,3.6800976952659656,4.3,-1.89,9.7,12.73,3.406338965021536,-0.4090428413457619
0.5,845.5,522.5,5.854228788988474,3.6177818358917535,4.62,-1.47,16.76,19.41,3.3927103881686804,-0.41245731198920166
0.533,867.5,515.5,6.006556445236548,3.5693139452673663,5.19,-0.81,-1.52,27.58,3.378967350261392,-0.41578694155119494
0.567,893.0,511.5,6.183118046796815,3.5416180077677164,5.14,0.1,0.0,22.42,3.365112709579068,-0.419031718757042
0.6,917.5,512.0,6.35275566398217,3.5450799999551728,5.14,0.84,-13.53,14.12,3.3511493244011046,-0.42219163233204315
0.633,942.0,516.0,6.522393281167525,3.5727759374548227,4.68,1.32,-17.88,20.3,3.3370800530068996,-0.42526667100149873
0.667,965.0,522.5,6.681644921790511,3.6177818358917535,4.09,1.99,-12.73,9.7,3.322907753675849,-0.428256823490709
0.7,984.5,532.0,6.816662617101304,3.6835596874534215,3.67,2.31,-36.18,0.88,3.3086352846873504,-0.4311620785249743
0.733,1002.0,543.0,6.937832343662271,3.759723515577458,2.44,2.34,-23.03,5.45,3.2942655043208,-0.4339824248295949
0.767,1014.0,554.5,7.020920156161221,3.839349335888952,1.68,2.52,-12.73,-22.42,3.2798012708555953,-0.4367178511298712
0.8,1022.0,566.5,7.076312031160521,3.922437148387901,1.26,1.78,-13.24,-16.47,3.2652454425711332,-0.43936834615110343
0.833,1028.0,575.0,7.1178559374099954,3.981291015574657,0.81,1.22,-24.55,-14.85,3.2506008777468103,-0.4419338986185919
0.867,1032.0,581.0,7.145551874909645,4.022834921824131,0.0,0.73,12.73,-15.76,3.235870434662024,-0.4444144972576369
0.9,1032.0,584.5,7.145551874909645,4.047068867136325,0.42,0.21,-12.35,-21.18,3.2210569715961705,-0.44681013079353876
0.933,1034.0,585.5,7.15939984365947,4.053992851511238,0.0,-0.51,25.45,-25.76,3.2061633468286472,-0.4491207879515978
0.967,1034.0,583.0,7.15939984365947,4.036682890573957,0.84,-1.36,12.73,-19.09,3.1911924186388507,-0.4513464574571143
1.0,1038.0,576.5,7.18709578115912,3.9916769921370254,1.26,-1.99,12.73,0.0,3.176147045306178,-0.45348712803538865
1.033,1044.0,567.0,7.228639687408594,3.925899140575357,1.68,-1.99,10.59,-4.41,3.1610300851100264,-0.4555427884117211
1.066,1052.0,557.5,7.284031562407894,3.860121289013689,2.04,-2.14,27.27,-1.82,3.1458443963297924,-0.45751342731141187
1.1,1062.0,547.0,7.353271406157019,3.7874194530771086,2.94,-2.2,19.09,0.0,3.130592837244873,-0.45939903345976135
1.133,1076.0,536.5,7.450207187405793,3.714717617140528,3.57,-2.2,2.94,19.71,3.1152782661346654,-0.4611995955820699
1.166,1093.0,526.0,7.567914921779304,3.642015781203947,3.67,-1.53,22.42,17.88,3.099903541278566,-0.4629151024036377
1.2,1111.0,518.5,7.692546640527729,3.590085898392104,4.41,-0.94,6.36,15.76,3.084471520955972,-0.4645455426497652
1.233,1132.0,514.0,7.837950312400889,3.5589279687049977,4.62,-0.42,1.76,15.29,3.06898506344628,-0.46609090504575257
1.266,1154.0,512.0,7.990277968648964,3.5450799999551728,4.68,0.1,-14.55,28.79,3.053447027028887,-0.4675511783169002
1.3,1177.0,512.5,8.14952960927195,3.548541992142629,4.2,1.05,0.0,22.12,3.0378602699831907,-0.46892635118850834
1.333,1197.0,517.5,8.288009296770198,3.583161914017192,4.2,1.78,-33.82,-10.29,3.0222276505885866,-0.4702164123858774
1.366,1217.0,526.0,8.426488984268447,3.642015781203947,3.05,1.43,-3.33,16.97,3.006552027124473,-0.47142135063430757
1.4,1232.0,533.0,8.530348749892134,3.6904836718283343,2.94,1.99,-25.45,6.36,2.990836257870246,-0.47254115465909924
1.433,1246.0,542.5,8.627284531140909,3.7562615233900014,2.1,2.2,-13.82,-4.71,2.9750832011053028,-0.47357581318555264
1.466,1256.0,553.0,8.696524374890034,3.828963359326583,1.63,2.04,-11.21,-1.52,2.9592957151090395,-0.4745253149389681
1.5,1264.0,563.0,8.751916249889332,3.898203203075707,1.26,1.99,-19.09,-19.09,2.9434766581608547,-0.47538964864464606
1.533,1270.0,572.5,8.793460156138808,3.963981054637376,0.63,1.36,-6.47,-22.06,2.9276288885401436,-0.4761688030278866
1.566,1273.0,579.0,8.814232109263545,4.008986953074307,0.41,0.61,-6.06,0.61,2.9117552645263043,-0.4768627668139902
1.6,1275.0,582.0,8.82808007801337,4.029758906199044,0.21,0.63,6.36,-22.12,2.895858644398733,-0.47747152872825704
1.633,1276.0,585.0,8.835004062388283,4.050530859323781,0.42,-0.1,-12.35,-12.06,2.8799418864368267,-0.4779950774959876
1.666,1278.0,584.5,8.848852031138106,4.047068867136325,0.0,-0.51,19.09,-19.39,2.8640078489199827,-0.47843340184248195
1.7,1278.0,582.0,8.848852031138106,4.029758906199044,0.63,-1.15,6.36,-9.7,2.8480593901275975,-0.4787864904930406
1.733,1281.0,576.5,8.869623984262844,3.9916769921370254,0.84,-1.47,17.35,-13.53,2.832099368339068,-0.4790543321729638
1.766,1285.0,569.5,8.897319921762493,3.9432091015126383,1.43,-1.93,7.58,4.55,2.8161306418337917,-0.4792369156075518
1.8,1292.0,560.0,8.94578781238688,3.87743124995097,1.68,-1.78,25.45,-9.7,2.8001560688911646,-0.479334229522105
1.833,1300.0,551.5,9.00117968738618,3.8185773827642144,2.52,-2.1,9.71,7.94,2.7841785077905845,-0.4793462626419236
1.866,1312.0,541.5,9.08426749988513,3.74933753901509,2.85,-1.83,15.45,10.91,2.7682008168114476,-0.47927300369230796
1.9,1326.0,532.5,9.181203281133904,3.687021679640878,3.36,-1.47,6.36,9.7,2.752225854233151,-0.4791144413985584
1.933,1342.0,525.5,9.291987031132503,3.6385537890164894,3.57,-1.15,8.82,15.88,2.736256478335092,-0.4788705644859753
1.966,1359.0,520.0,9.409694765506016,3.600471874954472,3.87,-0.61,10.0,15.45,2.7202955473966672,-0.4785413616798588
2.0,1378.0,517.0,9.541250468629352,3.579699921829735,4.2,-0.1,0.0,22.12,2.7043459196972734,-0.47812682170550924
2.033,1398.0,516.5,9.6797301561276,3.5762379296422786,4.2,0.63,-21.76,8.53,2.688410453516308,-0.47762693328822714
2.066,1418.0,519.5,9.81820984362585,3.5970098827670163,3.46,0.92,3.33,13.33,2.672492007133167,-0.47704168515331247
2.1,1435.0,524.0,9.93591757799936,3.628167812454122,3.57,1.36,-19.09,6.36,2.656593438827248,-0.47637106602606577
2.133,1452.0,530.5,10.053625312372873,3.673173710891053,2.94,1.57,-14.71,16.76,2.640717606877948,-0.47561506463178727
2.166,1466.0,538.0,10.150561093621649,3.725103593702897,2.44,2.14,-10.3,-7.58,2.6248673695646634,-0.47477366969577733
