tiempo,posicion,velocidad,aceleracion,fuerza_viscosa
0.0,1.47,3.6546929779773687,-0.5589129443282533,-44.15
0.03367697594501718,1.59,3.635856466842665,-0.5564061954284164,-43.96
0.06735395189003436,1.71,3.617104113722075,-0.5538995965794258,-43.76
0.10103092783505155,1.83,3.5984359209659633,-0.5513931463150235,-43.56
0.13470790378006872,1.96,3.5798518909246932,-0.5488868431689512,-43.36
0.1683848797250859,2.08,3.561352025948629,-0.5463806856749512,-43.16
0.2020618556701031,2.2,3.542936328388135,-0.5438746723667653,-42.97
0.23573883161512027,2.32,3.524604800593575,-0.5413688017781355,-42.77
0.26941580756013744,2.43,3.506357444915313,-0.5388630724428037,-42.57
0.3030927835051546,2.55,3.4881942637037135,-0.536357482894512,-42.37
0.3367697594501718,2.67,3.47011525930914,-0.5338520316670022,-42.17
0.37044673539518896,2.79,3.4521204340819573,-0.5313467172940165,-41.98
0.4041237113402062,2.9,3.4342097903725293,-0.5288415383092966,-41.78
0.43780068728522337,3.02,3.4163833305312195,-0.5263364932465847,-41.58
0.47147766323024054,3.13,3.3986410569083922,-0.5238315806396225,-41.38
0.5051546391752577,3.25,3.380982971854412,-0.5213267990221523,-41.18
0.5388316151202749,3.36,3.363409077719642,-0.5188221469279158,-40.99
0.5725085910652921,3.48,3.3459193768544475,-0.5163176228906551,-40.79
0.6061855670103092,3.59,3.328513871609192,-0.5138132254441121,-40.59
0.6398625429553264,3.7,3.311192564334239,-0.5113089531220287,-40.39
0.6735395189003436,3.81,3.2939554573799534,-0.5088048044581471,-40.2
0.7072164948453608,3.92,3.276802553096699,-0.5063007779862091,-40.0
0.7408934707903779,4.03,3.25973385383484,-0.5037968722399566,-39.8
0.7745704467353951,4.14,3.24274936194474,-0.5012930857531318,-39.6
0.8082474226804124,4.25,3.225849079776763,-0.4987894170594764,-39.4
0.8419243986254296,4.36,3.2090330096812743,-0.4962858646927325,-39.21
0.8756013745704467,4.47,3.192301154008637,-0.4937824271866421,-39.01
0.9092783505154639,4.58,3.175653515109215,-0.49127910307494704,-38.81
0.9429553264604811,4.68,3.159090095333373,-0.48877589089138945,-38.61
0.9766323024054983,4.79,3.1426108970314743,-0.4862727891697112,-38.42
1.0103092783505154,4.9,3.126215922553884,-0.48376979644365425,-38.22
1.0439862542955325,5.0,3.1099051742509656,-0.4812669112469606,-38.02
1.0776632302405498,5.11,3.093678654473083,-0.4787641321133722,-37.82
1.111340206185567,5.21,3.0775363655706007,-0.476261457576631,-37.62
1.1450171821305841,5.31,3.0614783098938823,-0.473758886170479,-37.43
1.1786941580756014,5.42,3.0455044897932924,-0.4712564164286582,-37.23
1.2123711340206185,5.52,3.0296149076191945,-0.46875404688491046,-37.03
1.2460481099656358,5.62,3.0138095657219535,-0.4662517760729778,-36.83
1.2797250859106528,5.72,2.9980884664519327,-0.4637496025266022,-36.64
1.31340206185567,5.82,2.982451612159496,-0.46124752477952563,-36.44
1.3470790378006872,5.92,2.9668990051950086,-0.45874554136549,-36.24
1.3807560137457044,6.02,2.9514306479088335,-0.45624365081823737,-36.04
1.4144329896907215,6.12,2.9360465426513356,-0.45374185167150966,-35.85
1.4481099656357388,6.22,2.920746691772878,-0.4512401424590488,-35.65
1.4817869415807559,6.32,2.9055310976238253,-0.4487385217145968,-35.45
1.5154639175257731,6.42,2.890399762554542,-0.44623698797189565,-35.25
1.5491408934707902,6.52,2.8753526889153918,-0.4437355397646872,-35.06
1.5828178694158075,6.61,2.8603898790567386,-0.4412341756267136,-34.86
1.6164948453608248,6.71,2.845511335328947,-0.4387328940917167,-34.66
1.6501718213058418,6.8,2.83071706008238,-0.4362316936934384,-34.46
1.6838487972508591,6.9,2.816007055667403,-0.4337305729656208,-34.26
1.7175257731958762,6.99,2.801381324434379,-0.4312295304420058,-34.07
1.7512027491408935,7.09,2.7868398687336726,-0.42872856465633535,-33.87
1.7848797250859105,7.18,2.7723826909156477,-0.4262276741423515,-33.67
1.8185567010309278,7.28,2.758009793330669,-0.4237268574337961,-33.47
1.8522336769759449,7.37,2.7437211783291,-0.42122611306441127,-33.28
1.8859106529209622,7.46,2.7295168482613046,-0.41872543956793884,-33.08
1.9195876288659792,7.55,2.715396805477647,-0.41622483547812084,-32.88
1.9532646048109965,7.64,2.701361052328491,-0.41372429932869914,-32.68
1.9869415807560136,7.74,2.687409591164202,-0.41122382965341586,-32.49
2.020618556701031,7.83,2.673542424335143,-0.4087234249860129,-32.29
2.054295532646048,7.92,2.6597595541916776,-0.40622308386023215,-32.09
2.087972508591065,8.01,2.646060983084171,-0.4037228048098157,-31.89
2.1216494845360825,8.09,2.6324467133629863,-0.4012225863685054,-31.7
2.1553264604810995,8.18,2.6189167473784885,-0.39872242707004335,-31.5
2.1890034364261166,8.27,2.6054710874810416,-0.3962223254481714,-31.3
2.222680412371134,8.36,2.5921097360210084,-0.39372228003663157,-31.1
2.256357388316151,8.45,2.5788326953487544,-0.3912222893691658,-30.91
2.2900343642611682,8.53,2.5656399678146427,-0.38872235197951605,-30.71
2.3237113402061853,8.62,2.5525315557690385,-0.3862224664014243,-30.51
2.357388316151203,8.71,2.539507461562305,-0.3837226311686326,-30.31
2.39106529209622,8.79,2.526567687544806,-0.38122284481488283,-30.12
2.424742268041237,8.88,2.5137122360669064,-0.37872310587391694,-29.92
2.458419243986254,8.96,2.50094110947897,-0.3762234128794769,-29.72
2.4920962199312715,9.04,2.488254310131361,-0.37372376436530474,-29.52
2.5257731958762886,9.13,2.475651840374443,-0.3712241588651424,-29.33
