energia_cinetica_traslacion,energia_cinetica_rotacion,energia_cinetica_total,trabajo_traslacion_instantaneo,trabajo_rotacion_instantaneo,trabajo_total_instantaneo,potencia_traslacion,potencia_rotacion,potencia_total
278.07,1.49,279.56,-2.21,-0.02,-2.22,0.44,0.0,0.44
275.86,1.48,277.34,-2.2,-0.02,-2.2,0.44,0.0,0.44
273.66,1.47,275.13,-2.18,-0.02,-2.19,0.44,0.0,0.44
271.48,1.45,272.93,-2.17,-0.02,-2.18,0.44,0.0,0.44
269.31,1.44,270.76,-2.15,-0.02,-2.16,0.44,0.0,0.43
267.16,1.43,268.59,-2.14,-0.02,-2.15,0.43,0.0,0.43
265.02,1.42,266.45,-2.12,-0.02,-2.13,0.43,0.0,0.43
262.9,1.41,264.31,-2.11,-0.02,-2.12,0.43,0.0,0.43
260.79,1.4,262.19,-2.09,-0.02,-2.1,0.43,0.0,0.43
258.7,1.39,260.09,-2.08,-0.02,-2.09,0.43,0.0,0.42
256.62,1.38,258.0,-2.07,-0.02,-2.07,0.42,0.0,0.42
254.55,1.37,255.92,-2.05,-0.02,-2.06,0.42,0.0,0.42
252.5,1.36,253.86,-2.04,-0.02,-2.05,0.42,0.0,0.42
250.46,1.35,251.81,-2.02,-0.02,-2.03,0.42,0.0,0.41
248.44,1.34,249.78,-2.01,-0.02,-2.02,0.41,0.0,0.41
246.43,1.33,247.76,-2.0,-0.02,-2.0,0.41,0.0,0.41
244.44,1.32,245.76,-1.98,-0.02,-1.99,0.41,0.0,0.41
242.45,1.31,243.76,-1.97,-0.02,-1.98,0.41,0.0,0.41
240.49,1.3,241.79,-1.95,-0.02,-1.96,0.41,0.0,0.4
238.53,1.29,239.82,-1.94,-0.02,-1.95,0.4,0.0,0.4
236.59,1.28,237.87,-1.93,-0.02,-1.94,0.4,0.0,0.4
234.67,1.27,235.94,-1.91,-0.02,-1.92,0.4,0.0,0.4
232.75,1.26,234.02,-1.9,-0.02,-1.91,0.4,0.0,0.4
230.85,1.25,232.11,-1.89,-0.02,-1.9,0.4,0.0,0.39
228.97,1.25,230.21,-1.87,-0.02,-1.88,0.39,0.0,0.39
227.09,1.24,228.33,-1.86,-0.02,-1.87,0.39,0.0,0.39
