0,000	514,0
0,033	523,5
0,067	536,0
0,100	548,0
0,133	561,0
0,167	571,5
0,200	580,5
0,233	584,5
0,267	585,0
0,300	582,5
0,333	575,5
0,367	566,0
0,400	555,0
0,433	543,0
0,467	531,5
0,500	522,5
0,533	515,5
0,567	511,5
0,600	512,0
0,633	516,0
0,667	522,5
0,700	532,0
0,733	543,0
0,767	554,5
0,800	566,5
0,833	575,0
0,867	581,0
0,900	584,5
0,933	585,5
0,967	583,0
1,000	576,5
1,033	567,0
1,066	557,5
1,100	547,0
1,133	536,5
1,166	526,0
1,200	518,5
1,233	514,0
1,266	512,0
1,300	512,5
1,333	517,5
1,366	526,0
1,400	533,0
1,433	542,5
1,466	553,0
1,500	563,0
1,533	572,5
1,566	579,0
1,600	582,0
1,633	585,0
1,666	584,5
1,700	582,0
1,733	576,5
1,766	569,5
1,800	560,0
1,833	551,5
1,866	541,5
1,900	532,5
1,933	525,5
1,966	520,0
2,000	517,0
2,033	516,5
2,066	519,5
2,100	524,0
2,133	530,5
2,166	538,0
2,200	548,5
2,233	557,5
2,266	567,5
2,300	575,0
2,333	581,5
2,366	585,5
2,400	588,0
2,433	588,0
2,466	587,5
2,500	584,0
2,533	578,0
2,566	570,5
2,600	563,0
2,633	554,5
2,666	544,5
2,700	537,5
2,733	530,5
2,766	525,5
2,800	522,0
2,833	522,0
2,866	523,5
2,900	526,5
2,933	530,0
2,966	537,0
3,000	545,5
3,033	554,5
3,066	562,5
3,100	570,5
3,133	578,5
3,166	583,5
3,199	587,5
3,233	590,0
3,266	591,5
3,299	590,0
3,333	588,5
3,366	583,5
3,399	578,0
3,433	571,5
3,466	563,5
3,499	555,5
3,533	547,5
3,566	541,5
3,599	535,5
3,633	530,0
3,666	525,0
3,699	525,0
3,733	525,5
3,766	528,0
3,799	531,5
3,833	535,5
3,866	542,5
3,899	549,0
3,933	557,0
3,966	563,5
3,999	570,5
4,033	576,0
4,066	581,5
4,099	586,5
4,133	590,0
4,166	592,0
4,199	592,0
4,233	592,0
4,266	589,5
4,299	586,5
4,333	582,0
4,366	576,0
4,399	570,0
4,433	563,5
4,466	557,5
4,499	550,0
4,533	544,0
4,566	537,5
4,599	533,0
4,633	529,5
4,666	527,0
4,699	526,5
4,733	527,5
4,766	529,0
4,799	531,5
4,833	536,5
4,866	540,0
4,899	544,5
4,933	550,5
4,966	557,0
4,999	562,5
5,033	567,5
5,066	575,0
5,099	579,5
5,133	583,0
5,166	587,0
5,199	589,0
5,232	591,0
5,266	592,0
5,299	592,0
5,332	592,0
5,366	589,5
5,399	587,5
5,432	584,0
5,466	580,0
5,499	576,5
5,532	570,0
5,566	565,5
5,599	560,5
5,632	554,5
5,666	550,0
5,699	546,0
5,732	541,5
5,766	537,5
5,799	534,0
5,832	531,5
5,866	530,5
5,899	529,5
5,932	529,5
5,966	531,0
5,999	532,5
6,032	533,0
6,066	536,5
6,099	540,0
6,132	543,5
6,166	547,5
6,199	546,5
6,232	556,0
